Index,Value
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,26192
47,0
48,26208
49,0
50,26208
51,0
52,26208
53,0
54,26208
55,0
56,26208
57,0
58,26208
59,0
60,26208
61,0
62,26208
63,0
64,26208
65,0
66,26208
67,0
68,26208
69,0
70,26208
71,0
72,26208
73,0
74,26208
75,0
76,26192
77,0
78,26208
79,0
80,26208
81,0
82,26192
83,0
84,26208
85,0
86,26208
87,0
88,26208
89,0
90,26192
91,0
92,26208
93,0
94,26208
95,0
96,26208
97,0
98,26208
99,0
100,26208
101,0
102,26208
103,0
104,26208
105,0
106,26208
107,0
108,26208
109,0
110,26208
111,0
112,26208
113,0
114,26208
115,0
116,26208
117,0
118,26208
119,0
120,26208
121,0
122,26208
123,0
124,26208
125,0
126,26208
127,0
128,0
129,26208
130,0
131,26208
132,0
133,26208
134,0
135,26208
136,0
137,26208
138,0
139,26208
140,0
141,26208
142,0
143,26208
144,0
145,26208
146,0
147,26208
148,0
149,26208
150,0
151,26208
152,0
153,26208
154,0
155,26208
156,0
157,26208
158,0
159,26208
160,0
161,26208
162,0
163,26208
164,0
165,26208
166,0
167,26208
168,0
169,26208
170,0
171,26192
172,0
173,26208
174,0
175,26208
176,0
177,26208
178,0
179,26208
180,0
181,26208
182,0
183,26192
184,0
185,26208
186,0
187,26208
188,0
189,26208
190,0
191,26208
192,0
193,26192
194,0
195,26192
196,0
197,26192
198,0
199,26192
200,0
201,26192
202,0
203,26192
204,0
205,26192
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,26192
239,0
240,26208
241,0
242,26208
243,0
244,26208
245,0
246,26192
247,0
248,26208
249,0
250,26208
251,0
252,26208
253,0
254,26208
255,0
256,26208
257,0
258,26208
259,0
260,26208
261,0
262,26208
263,0
264,26208
265,0
266,26208
267,0
268,26208
269,0
270,26208
271,0
272,26208
273,0
274,26208
275,0
276,26208
277,0
278,26208
279,0
280,26208
281,0
282,26208
283,0
284,26208
285,0
286,26208
287,0
288,26208
289,0
290,26208
291,0
292,26208
293,0
294,26208
295,0
296,26208
297,0
298,26208
299,0
300,26208
301,0
302,26208
303,0
304,26192
305,0
306,26192
307,0
308,26192
309,0
310,26192
311,0
312,26192
313,0
314,26192
315,0
316,26192
317,0
318,26192
319,0
320,26192
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,26208
386,0
387,26208
388,0
389,26208
390,0
391,26208
392,0
393,26208
394,0
395,26208
396,0
397,26208
398,0
399,26208
400,0
401,26208
402,0
403,26208
404,0
405,26208
406,0
407,26208
408,0
409,26208
410,0
411,26208
412,0
413,26208
414,0
415,26208
416,0
417,26208
418,0
419,26208
420,0
421,26208
422,0
423,26208
424,0
425,26208
426,0
427,26208
428,0
429,26208
430,0
431,26208
432,0
433,26208
434,0
435,26208
436,0
437,26208
438,0
439,26208
440,0
441,26208
442,0
443,26208
444,0
445,26208
446,0
447,26192
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
