SampleID,Red,IR
0,825,753
1,799,788
2,790,788
3,793,767
4,808,757
5,827,748
6,799,762
7,818,748
8,805,786
9,846,750
10,851,737
11,828,747
12,832,746
13,812,766
14,793,742
15,818,776
16,798,743
17,816,814
18,874,767
19,740,771
20,780,807
21,844,735
22,788,747
23,788,743
24,798,757
25,828,708
26,771,726
27,795,779
28,878,682
29,730,696
30,749,762
31,803,701
32,752,735
33,797,730
34,739,737
35,767,775
36,743,741
37,753,778
38,788,743
39,799,771
40,821,766
41,811,768
42,808,770
43,798,773
44,829,779
45,812,768
46,825,790
47,827,763
48,769,765
49,808,822
50,840,761
51,816,798
52,813,770
53,790,790
54,819,789
55,838,783
56,808,850
57,883,763
58,778,795
59,821,818
60,863,797
61,804,816
62,820,803
63,829,773
64,792,773
65,847,805
66,823,807
67,825,802
68,831,806
69,841,796
70,849,817
71,854,827
72,836,826
73,845,808
74,835,809
75,835,797
76,838,826
77,829,817
78,839,822
79,831,817
80,821,810
81,864,797
82,842,845
83,857,799
84,814,827
85,813,864
86,819,789
87,787,813
88,833,835
89,831,772
90,810,819
91,846,774
92,778,802
93,860,793
94,822,788
95,828,846
96,792,773
97,797,800
98,844,824
99,841,810
100,850,827
101,841,805
102,827,826
103,838,814
104,842,819
105,843,823
106,838,804
107,842,806
108,844,824
109,828,823
110,830,827
111,798,811
112,860,807
113,823,818
114,825,852
115,857,799
116,785,811
117,827,875
118,894,782
119,814,818
120,819,858
121,868,802
122,815,817
123,838,830
124,844,813
125,811,792
126,819,815
127,839,875
128,888,794
129,802,810
130,867,849
131,821,835
132,842,846
133,835,811
134,831,829
135,834,849
136,849,832
137,835,821
138,850,830
139,841,832
140,846,827
141,837,829
142,835,843
143,834,884
144,922,807
145,789,810
146,835,860
147,871,805
148,830,833
149,855,816
150,842,820
151,874,867
152,875,817
153,843,841
154,905,827
155,862,829
156,860,873
157,898,829
158,860,830
159,869,849
160,878,817
161,837,851
162,909,897
163,872,851
164,864,837
165,873,827
166,866,849
167,894,836
168,858,847
169,888,850
170,907,846
171,883,812
172,891,800
173,848,866
174,870,818
175,868,829
176,899,786
177,840,820
178,850,828
179,794,857
180,847,811
181,855,744
182,810,856
183,874,867
184,793,811
185,828,864
186,936,777
187,858,800
188,841,750
189,815,802
190,816,803
191,866,783
192,833,827
193,895,760
194,820,788
195,825,819
196,816,803
197,828,797
198,842,779
199,810,786
200,842,825
201,815,807
202,828,801
203,843,806
204,873,780
205,868,761
206,812,781
207,854,760
208,845,834
209,917,748
210,834,750
211,822,824
212,876,794
213,775,782
214,848,824
215,849,742
216,819,821
217,802,843
218,838,810
219,834,799
220,830,767
221,848,833
222,816,803
223,806,775
224,839,855
225,917,785
226,864,750
227,851,760
228,804,770
229,819,816
230,846,768
231,828,789
232,849,797
233,833,811
234,820,811
235,821,813
236,826,795
237,864,777
238,810,787
239,812,779
240,814,846
241,925,713
242,827,758
243,865,777
244,848,753
245,778,815
246,849,768
247,805,779
248,855,787
249,846,764
250,785,833
251,866,770
252,775,795
253,861,790
254,857,776
255,817,785
256,840,814
257,877,770
258,845,783
259,892,778
260,852,749
261,836,804
262,855,762
263,826,756
264,866,777
265,828,781
266,821,772
267,832,807
268,820,793
269,843,776
270,842,797
271,809,781
272,841,819
273,838,759
274,846,797
275,864,752
276,835,780
277,846,781
278,817,724
279,811,837
280,940,729
281,803,750
282,826,825
283,867,729
284,776,802
285,809,751
286,830,767
287,847,769
288,867,818
289,816,794
290,819,785
291,840,768
292,863,764
293,852,789
294,807,770
295,829,770
296,866,784
297,842,771
298,847,744
299,867,742
300,827,767
301,808,780
302,844,765
303,821,799
304,844,772
305,783,841
306,855,778
307,788,774
308,829,822
309,923,739
310,794,767
311,822,810
312,871,741
313,843,735
314,869,750
315,827,762
316,859,732
317,801,773
318,836,800
319,847,769
320,802,747
321,824,809
322,881,772
323,784,801
324,859,784
325,840,780
326,824,766
327,829,756
328,822,772
329,855,770
330,858,760
331,857,738
332,851,728
333,814,801
334,826,750
335,821,799
336,829,747
337,828,797
338,858,731
339,779,793
340,773,792
341,861,723
342,793,780
343,855,736
344,812,771
345,812,804
346,836,768
347,837,820
348,938,701
349,797,761
350,832,758
351,866,729
352,836,718
353,831,730
354,839,739
355,812,754
356,806,789
357,848,742
358,827,765
359,825,751
360,815,801
361,814,779
362,812,789
363,806,778
364,875,725
365,852,749
366,830,748
367,876,737
368,842,736
369,856,744
370,841,706
371,821,739
372,823,738
373,787,768
374,879,734
375,804,722
376,793,831
377,865,767
378,765,774
379,792,796
380,824,714
381,820,729
382,809,753
383,817,751
384,861,743
385,839,698
386,815,761
387,878,717
388,807,741
389,796,770
390,838,716
391,804,759
392,824,742
393,821,739
394,798,753
395,797,782
396,801,766
397,839,750
398,817,733
399,823,724
400,817,779
401,845,729
402,842,773
403,821,739
404,815,731
405,802,838
406,902,691
407,783,751
408,854,780
409,862,679
410,798,736
411,816,718
412,764,804
413,869,739
414,817,743
415,807,770
416,853,794
417,806,775
418,843,753
419,831,750
420,843,719
421,826,771
422,827,734
423,825,742
424,869,718
425,855,715
426,819,726
427,813,729
428,798,772
429,809,736
430,822,731
431,793,785
432,817,779
433,768,794
434,801,811
435,835,713
436,811,711
437,830,748
438,837,704
439,783,726
440,841,736
441,842,727
442,798,736
443,810,717
444,824,804
445,850,725
446,774,723
447,803,755
448,848,708
449,794,770
450,816,770
451,778,744
452,813,744
453,837,731
454,806,723
455,815,740
456,816,741
457,852,733
458,857,737
459,829,721
460,828,728
461,807,748
462,817,701
463,809,788
464,871,721
465,808,749
466,804,754
467,804,756
468,808,755
469,850,699
470,765,766
471,886,729
472,800,731
473,799,819
474,873,715
475,804,720
476,838,737
477,829,717
478,825,763
479,860,747
480,853,711
481,840,705
482,853,701
483,805,748
484,815,743
485,825,723
486,796,760
487,819,735
488,804,785
489,797,770
490,795,746
491,827,740
492,840,716
493,816,736
494,824,747
495,829,719
496,847,751
497,850,707
498,845,686
499,817,765
500,808,755
501,790,738
502,823,809
503,902,698
504,786,737
505,790,823
506,806,765
507,804,760
508,834,715
509,805,775
510,864,710
511,807,757
512,812,778
513,919,707
514,838,725
515,831,761
516,862,730
517,799,731
518,815,747
519,821,731
520,824,718
521,819,727
522,802,736
523,795,768
524,818,735
525,845,725
526,808,731
527,816,730
528,800,806
529,850,707
530,827,720
531,848,776
532,852,679
533,789,755
534,836,749
535,833,696
536,807,710
537,815,715
538,813,780
539,804,760
540,763,740
541,858,719
542,821,719
543,790,746
544,791,813
545,861,783
546,815,733
547,848,717
548,837,711
549,805,751
550,840,722
551,830,745
552,849,732
553,869,710
554,828,725
555,836,721
556,810,780
557,839,737
558,810,724
559,786,735
560,798,813
561,830,745
562,796,761
563,816,724
564,825,717
565,800,769
566,857,696
567,789,790
568,888,726
569,839,689
570,815,779
571,875,694
572,787,737
573,796,752
574,859,735
575,811,748
576,821,741
577,775,782
578,803,769
579,800,754
580,841,730
581,837,739
582,823,741
583,814,773
584,818,741
585,839,742
586,850,720
587,868,706
588,835,728
589,803,746
590,817,725
591,784,748
592,859,699
593,813,745
594,836,744
595,768,752
596,794,791
597,800,769
598,787,726
599,819,837
600,877,744
601,784,750
602,823,743
603,827,707
604,852,734
605,845,739
606,818,779
607,856,731
608,832,714
609,862,707
610,838,724
611,826,723
612,808,771
613,838,745
614,819,739
615,820,754
616,806,774
617,781,781
618,797,773
619,808,748
620,833,714
621,832,733
622,802,748
623,853,737
624,835,727
625,860,776
626,917,695
627,807,697
628,796,806
629,856,699
630,784,740
631,828,763
632,843,721
633,773,758
634,791,716
635,789,821
636,852,734
637,807,711
638,799,785
639,859,739
640,773,763
641,900,749
642,849,735
643,844,729
644,831,733
645,808,741
646,834,741
647,829,734
648,839,720
649,836,727
650,816,714
651,801,729
652,793,744
653,867,732
654,778,823
655,878,701
656,770,761
657,812,803
658,847,747
659,811,736
660,857,704
661,795,754
662,848,753
663,822,709
664,839,749
665,890,697
666,809,702
667,823,748
668,848,729
669,785,718
670,820,758
671,842,708
672,772,779
673,836,821
674,827,774
675,811,749
676,849,728
677,815,743
678,808,731
679,817,767
680,827,737
681,833,738
682,856,736
683,835,721
684,827,728
685,790,755
686,816,751
687,836,708
688,810,738
689,823,720
690,769,794
691,832,738
692,804,709
693,815,785
694,848,753
695,795,784
696,811,825
697,895,717
698,792,727
699,857,735
700,809,712
701,811,756
702,853,713
703,806,787
704,879,718
705,800,734
706,836,719
707,803,771
708,817,743
709,829,724
710,798,745
711,818,771
712,822,764
713,802,759
714,808,753
715,834,737
716,805,732
717,794,761
718,840,714
719,811,799
720,882,703
721,804,700
722,800,786
723,847,736
724,765,727
725,810,765
726,844,722
727,785,767
728,799,769
729,851,754
730,845,726
731,820,722
732,812,787
733,811,756
734,818,710
735,836,783
736,888,712
737,815,725
738,806,730
739,803,792
740,802,737
741,826,729
742,806,734
743,822,791
744,821,783
745,802,763
746,813,748
747,833,728
748,840,728
749,801,738
750,780,731
751,834,788
752,883,691
753,798,694
754,824,735
755,840,728
756,778,743
757,853,723
758,792,737
759,837,809
760,810,751
761,772,799
762,862,721
763,797,722
764,825,766
765,840,712
766,808,726
767,827,748
768,867,693
769,826,734
770,852,731
771,815,749
772,803,751
773,844,738
774,814,742
775,821,766
776,809,784
777,801,769
778,804,751
779,827,755
780,845,730
781,798,740
782,796,749
783,822,764
784,856,700
785,828,737
786,829,717
787,786,779
788,821,728
789,835,696
790,781,789
791,898,727
792,776,783
793,787,807
794,829,729
795,784,741
796,845,698
797,785,767
798,849,743
799,876,753
800,871,736
801,859,709
802,841,714
803,824,725
804,799,754
805,846,723
806,829,771
807,840,735
808,818,774
809,804,757
810,803,781
811,792,754
812,850,717
813,810,774
814,811,734
